repo,default_branch,has_main,has_master,main_protected,branches,environments,compliance,risk_score,risk_level,risk_reasons
account-analytic,17.0-mig,no,yes,no,"17.0-mig;17.0-mig-account_analytic_required;17.0-mig-analytic_base_department;17.0-mig-analytic_tag_dimension_enhanced;17.0-mig-analytic_tag_dimension;18.0;backup-18.0-20260406;task/XIPP-19351","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
web,17.0-mig,no,yes,no,"17.0-mig;18.0;backup-18.0-20260406;fix/validator-20260320-web;task/XIPP-19351","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
social,17.0-mig,no,yes,no,"17.0-mig;18.0;backup-18.0-20260406","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
server-ux,17.0-mig,no,yes,no,"17.0-mig;17.0-mig-date_range_account;17.0-mig-date_range;18.0;backup-18.0-20260406","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
dms,17.0-mig,no,yes,no,"17.0-mig;17.0-mig-dms_field;17.0-mig-dms;18.0;backup-18.0-20260406","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
invoice-service,main,yes,yes,no,"bugfix/XIPP-13641;bugfix/XIPP-13843;bugfix/XIPP-13864;bugfix/XIPP-13945;bugfix/XIPP-14879;develop;feat/XIPP-13583;feat/XIPP-16034;feat/XIPP-16162;feat/XIPP-17288;feat/XIPP-17326;feat/XIPP-18058;feat/XIPP-19354;feat/XIPP-19355;feature/XIPP-12787;feature/XIPP-14134;feature/XIPP-14135-compl;feature/XIPP-14135-fix;feature/XIPP-14135;feature/XIPP-14136-ajuste;feature/XIPP-14136;feature/XIPP-14494-fix;feature/XIPP-14494;feature/XIPP-14667-fix;feature/XIPP-14667-it;feature/XIPP-14667-it2;feature/XIPP-14667;feature/XIPP-15091;feature/XIPP-15285;feature/monitoramento","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
odoo-migration-analyzer,main,yes,yes,no,"main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
sdi-test-e2e,main,yes,yes,no,"main;test/XIPP-12928;test/XIPP-13445;test/XIPP-13720;xipptech/test/refactoring;xipptech/test/refactoring-change-selectors;xipptech/test/refactoring-change-selectors-pt2","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
payroll-service,main,yes,yes,yes,"XIPP-6596---Integração-Sinergy;XIPP-7208---arquitetura-projeto;bugfix/XIPP-8656;bugfix/XIPP-14072;bugfix/XIPP-14709;bugfix/XIPP-17850;develop;develop-old;feat/XIPP-12674-develop;feat/XIPP-12674-stage;feat/XIPP-12674;feat/XIPP-12884-develop;feat/XIPP-13583;feat/XIPP-15783;feat/XIPP-15784;feat/XIPP-16032;feat/XIPP-16162;feat/XIPP-18058;feature/Sinergy-fix;feature/Sinergy-fix-main;feature/Sinergy-stg;feature/XIPP-6931;feature/XIPP-7633;feature/XIPP-7687---mocimentação;feature/XIPP-8819;feature/XIPP-9851;feature/XIPP-10149;feature/XIPP-11962;feature/XIPP-14444;feature/XIPP-16270","",PARCIAL,30,MEDIUM,"branch_master_existe;compliance_parcial;"
migration-analytics,main,yes,yes,yes,"BI-240;BI-349;BI-350;BI-351;BI-352;BI-353;BI-360;BI-394;BI-427;BI-429;BI-462;BI-517;BI-542;BI-544;BI-545;BI-569;BI-577;BI-578;BI-586;BI-588;BI-605;BI-610;XIPP-7245;XIPP-7247-prd;XIPP-7247;XIPP-7249;XIPP-7711;XIPP-8394;XIPP-8485;XIPP-8703","",PARCIAL,30,MEDIUM,"branch_master_existe;compliance_parcial;"
account-financial-tools,17.0-mig,no,yes,no,"17.0-mig;17.0-mig-account_asset_batch_compute;17.0-mig-account_asset_management_menu;17.0-mig-account_asset_management;17.0-mig-account_asset_number;17.0-mig-account_lock_to_date;17.0-mig-account_move_force_removal;18.0;backup-18.0-20260406;task/XIPP-19351","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
partner-contact,17.0-mig,no,yes,no,"17.0-mig;17.0-mig-partner_capital;17.0-mig-partner_company_type;17.0-mig-partner_contact_department;17.0-mig-partner_contact_hobby;17.0-mig-partner_employee_quantity;17.0-mig-partner_phone_extension;17.0-mig-partner_phone_secondary;17.0-mig-partner_priority;17.0-mig-step-1;18.0;backup-18.0-20260406;task/XIPP-19351","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
account-addons,17.0-mig,no,yes,no,"17.0-mig;18.0;fix/XIPP-18698","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
lp-mais-familia,main,no,no,no,"","",PARCIAL,50,HIGH,"main_sem_protecao;compliance_parcial;"
integrator-service,main,yes,yes,no,"bugfix/XIPP-17934;develop;devin/1752665970-cucumber-integration-tests;feat/XIPP-12026;feat/XIPP-14283;feat/XIPP-16162;feat/XIPP-18058;feature/XIPP-18983;feature/XIPP-18984;fix/XIPP-15926;fix/XIPP-16427;main;preprod;release/v2.74.1;release/v2.75.0;release/v2.75.1;release/v2.76.0;stage;uat","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rpa-operation-fesp-invoice-coparticipation,dev,yes,yes,no,"dev;feat/XIPP-14042;feat/XIPP-15171;feat/XIPP-16552;feat/XIPP-16701;feat/XIPP-17646;feat/XIPP-17816;feat/XIPP-18402;feat/XIPP-19309;feat/XIPP-IT;main;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
