repo,default_branch,has_main,has_master,main_protected,branches,environments,compliance,risk_score,risk_level,risk_reasons
rpa-operation-amil-coparticipation,prd,no,yes,no,"bugfix/XIPP-14798;dev;feature/XIPP-1756933074-playwright-login;fix/XIPP-15541;fix/XIPP-16111;hotfix/XIPP-14790;hotfix/XIPP-15001;hotfix_02_10;prd;snyk-fix-9177035035fb9e9c962d517252e04319;snyk-fix-3b43f7aa5236757210b0928a4a89dc3b;snyk-fix-4f5ad7fb9da93002739f983d65ccd124;snyk-fix-16b0eb2fccb9e0c97efa4a00a3f28873;snyk-fix-21d0e9fd42813fa547fbf70f02d3d6e5;snyk-fix-839242f85acb5507e8d66590059f6571;snyk-fix-a0ee46c4d0f9a51b4f23b40d2cd10c8d;snyk-fix-b1b00381a1915073a52d59037cdc5798;snyk-fix-c2cf752af404176da4ff3d64ac3d1e7f;snyk-fix-cd01e25aed2733892d1ae67e2092a452;snyk-fix-e3dbf57bacfde282388810ed442953fd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
poc_payroll_processor,main,yes,yes,no,"feature/XIPP-15786;feature/payroll-transformation-script;fix/XIPP-15786;main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
xipp-doodba-17,main,yes,yes,no,"develop;main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
commons-poc,main,yes,yes,no,"develop;feat/XIPP-15518;feat/new-endpoint;main;main__;release/2.68.0;release/2.69.0","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
nifi-custom-processor-excel-to-csv,main,yes,yes,no,"fix/XIPP-8357-2;main;snyk-fix-ef74a287d18914d245bbed5123e1f557;snyk-upgrade-16ee403641f2548dcab276c47ed0da74;snyk-upgrade-73d64d17e9b1459d79619b6702bdd407;snyk-upgrade-d8c8c3fffd9de0775d1a18df397921cc;vinicius-santos-xipptech-patch-1","DEV;PRD;PREPRD;STG",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rh-test-e2e,main,yes,yes,no,"main;test/XIPP-15107;test/XIPP-15210;test/XIPP-15249;test/XIPP-15365","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
ci-cd-poc,main,yes,yes,yes,"create-pull-request/patch;develop;feat/XIPP-1234;feat/XIPP-14873;feat/test-a;feat/test-b;feat/test-deploy;feat/test-env;feat/testing-release;feat/workflow;feat/1234;fix/17;fix/5678;main;release/1.1.6;release/1.1.7;release/1.1.8;release/1.1.9;release/1.1.10;release/1.1.11;release/1.1.12;release/1.1.13;release/1.1.14;release/1.1.15;release/1.1.16;release/1.1.17;release/1.1.18;release/1.1.19;release/1.1.20;release/1.1.21","develop;staging",PARCIAL,30,MEDIUM,"branch_master_existe;compliance_parcial;"
OCB,18.0,no,yes,no,"7.0;8.0;9.0;10.0;11.0;12.0;13.0;14.0-feature/XIPP-13974;14.0;15.0;16.0;17.0;18.0;feature/XIPP-14245;revert-2-feature/XIPP-14245","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
release-deployment,main,yes,yes,yes,"main;release/1.1.11;release/1.1.12;release/1.1.13;release/1.1.14;release/1.1.15;release/1.1.16;release/1.1.17;release/1.1.18;release/1.1.19;release/1.1.20;release/1.1.21;release/1.1.22;release/2.68.0","pre-production;production;uat",PARCIAL,30,MEDIUM,"branch_master_existe;compliance_parcial;"
release-management,main,yes,yes,no,"main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
xipp-odoo-docker,14.0,yes,yes,no,"14.0-M1;14.0-avuspharma;14.0-avuspharma-new-setup;14.0-new-setup;14.0-remote;14.0-server;14.0-xipp;14.0;17.0-upd;17.0;bugfix/XIPP-3465;story/XIPP-14162;story/XIPP-14391","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
nifi-custom-processor-execute-sql-mdb,main,yes,yes,no,"main;snyk-fix-2188dcff03ef554c4d265c2558b080f0;snyk-upgrade-1c1e486e41e75d35705947204d4fc419;snyk-upgrade-6428296f48a48a1a8cec0e283d72ba24","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rpa-financial-amil,prd,yes,yes,no,"dev;feat/xipp-13282;hotfix/XIPP-14790;hotfix/XIPP-15001;main;prd;stg","PRD;STG",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
release-poc,main,yes,yes,no,"develop;fix/XIPP-5678;fix/17;main;release/0.0.1;release/0.0.2;release/0.0.3;release/1.1.14;release/1.1.15;release/1.1.16;release/1.1.17;teste-pr-17415272882;teste-pr-17415470608","develop",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
xipp-odoo-demo,master,no,yes,no,"14.0;18.0;master","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rabbitmq,develop,no,yes,no,"develop;edit-pipeline;revert-1-edit-pipeline;stage","DEVELOP",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
rpa-teste,main,yes,yes,no,"main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
nifi-financial-groovy-scripts,main,yes,yes,no,"bugfix/xipp-14183;main;snyk-upgrade-607cc3875109266637d6d58e52946d8b;snyk-upgrade-41116357d6540ef55080c0242babeb0f;snyk-upgrade-b6019ecc070c9f653955cbb6a26620ec;snyk-upgrade-d0a3569b59bb0b11422818c1060f955d","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
nifi-custom-processor-detect-encoding,feature/XIPP-14746,yes,yes,no,"feature/XIPP-14746;main","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
avusfarma,main,yes,yes,no,"AV-1160;AVF-1438;avus-sprint-14;bugfix/AV-1685;bugfix/AV-1732;bugfix/AV-1733;bugfix/AV-1767;bugfix/AV-1773;bugfix/AV-1835;bugfix/AV-1840;bugfix/AV-1846;bugfix/AV-1883;bugfix/AVF-1476;feat/AV-1952;feat/AV-1957;feat/AV-1963;feat/AV-2043;feat/AV-2106;feat/AV-2110;feat/AV-2232;feat/AV-2253;feat/AV-2332;feat/AV-2358;feat/AV-2494;feat/AV-2495;feat/AV-2496;feat/AV-2497;feat/AV-2498;feat/AV-2499;feat/AV-2500","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
monitoring_loki,main,yes,yes,no,"main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
monitoring_postgres_exporter,main,yes,yes,no,"develop;main","preprod;production;staging",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
monitoring_promtail,main,yes,yes,no,"main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rhprotegido.app,main,yes,yes,no,"develop;feat/RTH-3310;feat/RTH-3322;feat/RTH-3326;feat/RTH-3337;feat/RTH-3339;feat/RTH-3341;feat/RTH-3353;feat/RTH-3355;feat/RTH-3362;feat/RTH-3366;feat/RTH-3376;feat/RTH-3379;feat/RTH-3381;feat/RTH-3387;feat/RTH-3394;feat/RTH-3405;feat/RTH-3410;feat/RTH-3454;feat/RTH-3456;feat/XIPP-12532;feat/XIPP-13890;feat/XIPP-13899;feat/XIPP-13953;feat/XIPP-13964;feat/XIPP-13968;feat/XIPP-14002;feature/RTH-2854;feature/XIPP-init-project;main","Production",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rhfarma,main,yes,yes,no,"feat/AV-2525;feat/AV-2526;feat/AV-2527;feat/XIPP-12152;feat/XIPP-12411;feat/XIPP-12475;feat/XIPP-12528;feat/XIPP-13889;feat/XIPP-13899;feat/XIPP-13972;feat/XIPP-13983;feature/AVF-1507;feature/AVF-1508;feature/AVF-1510;feature/AVF-1511;fix/AVF-1513;main;origin/feature/AFV-1192;origin/feature/AVF-1186;origin/feature/AVF-1189;origin/feature/AVF-1191;origin/feature/AVF-1193;origin/feature/AVF-1195;origin/feature/AVF-1198;origin/feature/AVF-1199;origin/feature/AVF-1200;origin/feature/AVF-1490;origin/main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
platform-k8s,main,yes,yes,no,"develop;main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
nifi-custom-processor-json-to-xls,main,yes,yes,no,"main;snyk-upgrade-5d09536278a18bfb8d5c4c400b30f6ce;snyk-upgrade-5e8e07ccbb59da49f46d8bcc6dbeff93;snyk-upgrade-37da3e0295c849f0602bf4c35588a424;snyk-upgrade-be4e6c8f3dbd9062e4eeb4fb1f07d64d","DEV;PRD;PREPRD;STG",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
doodba-qa,master,no,yes,no,"master","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
xipp-odoo-14,main,yes,yes,no,"main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
rpa-archtype,main,yes,yes,no,"main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
doodba,master,no,yes,no,"master","",NAO_CONFORME,120,CRITICAL,"default_branch_nao_main;branch_master_existe;main_sem_protecao;nao_conforme;"
nifi-custom-processor-fetch-odoo,main,yes,yes,no,"main;snyk-upgrade-4ed657d89233f38477230ebf217cdb71;snyk-upgrade-13594ad2e6bbac462a858dd0fcc6f117;snyk-upgrade-cdad5bdc0ffa68369b403683395fd7ac","DEV;PRD;PREPRD;STG",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
odoo-doodba,main,yes,yes,no,"17.0;main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
nifi-custom-processor-dynamic-move-sftp,main,yes,yes,no,"main;snyk-fix-c24f2aa132928555a2446799664a37a7;snyk-upgrade-0835bc1ed3abe03700f54ac599d7135c","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
nifi-custom-processor-dynamic-list-azure-blob-storage,main,yes,yes,no,"main;snyk-fix-e345914faf0e58e5c255339f53c9539d","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
nifi-custom-processor-pdf-to-xml,main,yes,yes,no,"main;snyk-upgrade-bc14d7e95c57c042aca4b26599dc03e7;snyk-upgrade-c7e77fcd5ff48369180eee7c4708a3f2","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
nifi-custom-processor-extended-query-record,main,yes,yes,no,"feature/XIPP-10680;main;snyk-fix-955817b1f1ec2befcbb0ab78a7510a6e;snyk-upgrade-7bdaddf9aefb98f7826d2e2f1eee552d;snyk-upgrade-dd36800ab9f2976409b57ea1d8cd42eb","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
elk-iac,main,yes,yes,no,"main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
demo-repository,main,yes,yes,no,"add-badges-to-readme;main;snyk-upgrade-86e664dd5db9e2c0cfbd648090def97f","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
config-server-repo,main,yes,yes,no,"feat/XIPP-12285-contract-service;fix/adjust-financial-service-configs;fix/adjust-gateway-server-cors;main;refact/gateway-upgrade-java","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
nifi-custom-processor-dynamic-list-sftp,main,yes,yes,no,"fix/XIPP-12330;main;snyk-fix-0e874ebf1688e764b1476bdaccf9c985;snyk-upgrade-3695e2a4059cbf63eb9074cbfd94762f;snyk-upgrade-ad68e6f12e53e7dd7095c31371b5fdc8","DEV;PRD;PREPRD;STG",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
notification-service,main,yes,yes,no,"develop;main;snyk-upgrade-0b8713c0ec08725535583e5a1a246026;snyk-upgrade-10691d72259e09084f03176bb37726bb;stage","development;pre-production;production",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
account.app,main,yes,yes,no,"feat/RTH-3423;feat/RTH-3459;main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
nifi-custom-processor-get-odoo,main,yes,yes,no,"main;snyk-upgrade-546745ad220421e3e1b532abb986b90c;snyk-upgrade-fd801dc4f3fb937c8d79a01c2b86c9f8","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
itext,main,yes,yes,no,"main;snyk-upgrade-4bfc0b8e31d5712e1742352488c7146b;snyk-upgrade-008e3f60f4da86277e682f0af2a31e53;snyk-upgrade-63d534552f82838572a31acdcccb3069;snyk-upgrade-d23f392108a8a7c7832fffdbfa3cf77e;snyk-upgrade-ebee785ab67f4833eb2e413ce9c009c6","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
demo-git-flow,main,yes,yes,no,"14-develop;14-preprod;14-stage;14.01.00.00;feature/XIPP-0001;main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
nifi-custom-processor-fetch-sftp-rename,main,yes,yes,no,"main;snyk-upgrade-843499a09844833edec53c959ea14465","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
nifi-additional-libs,main,yes,yes,no,"feat/xipp-11519;main","DEV;PRD;PREPRD;STG",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
external-systems-status-service,main,yes,yes,no,"develop;main;stage","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
collaborator.app,main,yes,yes,no,"feat/RTH-2854;feat/RTH-3310;feat/RTH-3326;main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
sdi-frontend-test,main,no,no,no,"","",PARCIAL,50,HIGH,"main_sem_protecao;compliance_parcial;"
generative-ai-python-3.8,main,yes,yes,no,"main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
teste-rodrigosilveira,main,no,no,no,"","",PARCIAL,50,HIGH,"main_sem_protecao;compliance_parcial;"
site_xipp_vorttex,main,yes,yes,no,"main","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
nifi-service,main,yes,yes,no,"develop;main;stage","",PARCIAL,70,HIGH,"branch_master_existe;main_sem_protecao;compliance_parcial;"
xipptech-service-hub,main,no,no,no,"","",PARCIAL,50,HIGH,"main_sem_protecao;compliance_parcial;"
