repo,default_branch,has_main,has_master,main_protected,branches,environments,compliance
euprotegido-service,main,yes,yes,yes,"XIPP-7600-9242;bugfix/XIPP-8260;bugfix/XIPP-8332;bugfix/XIPP-9037;bugfix/XIPP-10226_stg;bugfix/XIPP-10226;bugfix/XIPP-10874;bugfix/XIPP-12801;bugfix/XIPP-13070;bugfix/XIPP-13487-develop;bugfix/XIPP-13487-stage;bugfix/XIPP-13487;bugfix/XIPP-13514;bugfix/XIPP-14833;chore/XIPP-18419;chore/XIPP-19341;develop_old;develop;epic/XIPP-6484;epic/XIPP-7600;feat/AV-2148-develop;feat/AV-2148-prod;feat/AV-2148-stage;feat/XIPP-12680-develop;feat/XIPP-12680-stage;feat/XIPP-12680;feat/XIPP-13107;feat/XIPP-13583;feat/XIPP-14241-stage;feat/XIPP-14241","",PARCIAL
drive-service,main,yes,yes,yes,"bugfix/XIPP-8236;bugfix/XIPP-9671;bugfix/XIPP-14422;bugfix/XIPP-16843;bugfix/XIPP-16864;chore/XIPP-15801;chore/XIPP-18419;chore/XIPP-19341;develop_old;develop;develop-XIPP-14422;epic/XIPP-8753-stage;epic/XIPP-8753;feat/XIPP-12679-develop;feat/XIPP-12679-stage;feat/XIPP-12679;feat/XIPP-13583;feat/XIPP-15363-devin;feat/XIPP-15363-devin-fix;feat/XIPP-15363;feat/XIPP-15864;feat/XIPP-16162-old;feat/XIPP-16162-stage;feat/XIPP-16162;feat/XIPP-16692-ws;feat/XIPP-16692;feat/XIPP-16853-devin;feat/XIPP-16853-devin-dev;feat/XIPP-16853-fix;feat/XIPP-16853-fix-dev","",PARCIAL
sdi-frontend,main,yes,yes,yes,"EPIC_XIPP-10268;FIX/XIPP-9880-dev;FIX/XIPP-9880-stg;FIX/XIPP-9880;IT/XIPP-10202-dev;IT/XIPP-10202-stg;IT/XIPP-10202;IT/XIPP-10494-dev;IT/XIPP-10494-stg;IT/XIPP-10494;XIPP-11544_DEV;atualização_calendario_mov;automacao_selenium;automacao_selenium-dev;automacao_selenium-stg;bug/XIPP-19369;bugfix/XIPP-8675;bugfix/XIPP-8711;bugfix/XIPP-9199_dev;bugfix/XIPP-9199_stg;bugfix/XIPP-9199;bugfix/XIPP-9523;bugfix/XIPP-9530;bugfix/XIPP-9883_dev;bugfix/XIPP-9883_stg;bugfix/XIPP-9883;bugfix/XIPP-10075_dev;bugfix/XIPP-10075_stg;bugfix/XIPP-10075;bugfix/XIPP-10087-dev","",PARCIAL
l10n-brazil,18.0,no,yes,no,"1-50-plano-contas;17.0-fix-l10n_br_account;17.0-mig;17.0-mig-add-cnpj-search;17.0-mig-add-l10n_br_cnpj_search;17.0-mig-l10n_br_account_due_list;17.0-mig-l10n_br_account_payment_order;17.0-mig-l10n_br_account;17.0-mig-l10n_br_base;17.0-mig-l10n_br_cnab_structure;17.0-mig-l10n_br_cnpj_search;17.0-mig-l10n_br_coa_generic;17.0-mig-l10n_br_coa;17.0-mig-l10n_br_contract;17.0-mig-l10n_br_crm;17.0-mig-l10n_br_fiscal_certificate;17.0-mig-l10n_br_fiscal_closing;17.0-mig-l10n_br_fiscal;17.0-mig-l10n_br_hr;17.0-mig-l10n_br_mis_report;17.0-mig-l10n_br_nfse_paulistana;17.0-mig-l10n_br_nfse;17.0-mig-l10n_br_portal;17.0-mig-l10n_br_purchase;17.0-mig-l10n_br_resource;17.0-mig-l10n_br_sale;17.0-mig-l10n_br_zip;17.0-mig-xipp_adm_tax_config;18.0-XIPP-15079-fix-view-active-id;18.0-XIPP-15079-nfse-paulistana-rtc","",NAO_CONFORME
rules-validation-core,main,yes,yes,yes,"chore/XIPP-15518;develop;feat/XIPP-19963;hotfix_arquivos_nao_deletados;main;stage","",PARCIAL
avus-k8s-deploy,main,yes,yes,no,"auto-deploy;feat/start-script;fix-queue-config;main;new-prod","",PARCIAL
migration-analytics,main,yes,yes,yes,"BI-240;BI-349;BI-350;BI-351;BI-352;BI-353;BI-360;BI-394;BI-427;BI-429;BI-462;BI-517;BI-542;BI-544;BI-545;BI-569;BI-577;BI-578;BI-586;BI-588;BI-605;BI-610;Feature/XIPP-20926;XIPP-7245;XIPP-7247-prd;XIPP-7247;XIPP-7249;XIPP-7711;XIPP-8394;XIPP-8485","",PARCIAL
euprotegido-frontend,master,no,yes,no,"bug/XIPP-19589;develop;feat/XIPP-13426-develop;feat/XIPP-13426-stage;feat/XIPP-13426;feat/XIPP-16644-dev;feat/XIPP-16644-stg;feat/XIPP-16644;feat/XIPP-16730;feat/XIPP-17936;feat/adjust-meta;feature/XIPP-20725;fix/XIPP-18347;master;new-origin/master;origin/XIPP-172;origin/XIPP-243;origin/devops;origin/feature/XIPP-182;origin/feature/XIPP-924;origin/feature/XIPP-980;origin/feature/fix-assessment;origin/feature/fix-google-address;origin/feature/fix-telemedicine;origin/feature/xipp-179;origin/fix-build3;origin/heroku-update;origin/hotfix/2.0.7.2;origin/hotfix/2.0.7.3;origin/hotfix/2.0.7.4","",NAO_CONFORME
xipp-aggregator,main,yes,yes,yes,"18.0;main","",PARCIAL
canalprotegido-frontend,main,yes,yes,yes,"bugfix/XIPP-9350;bugfix/XIPP-9439;bugfix/XIPP-10503;docs/XIPP-13713;feat/XIPP-11197;feat/XIPP-12150;feat/XIPP-12156;feat/XIPP-12160;feat/XIPP-12367;feat/XIPP-12387;feat/XIPP-13128;feat/XIPP-13141;feat/XIPP-13142;feat/XIPP-13148;feat/XIPP-13183;feat/XIPP-13186;feat/XIPP-13268;feat/XIPP-13352;feat/XIPP-13354;feat/XIPP-13383;feat/XIPP-13409;feat/XIPP-13417;feat/XIPP-13439;feat/XIPP-13440;feat/XIPP-13463;feat/XIPP-13464;feat/XIPP-13472;feat/XIPP-13478;feat/XIPP-13489;feat/XIPP-13511","",PARCIAL
